<<<<<<< HEAD
444,,,,,,,CPNE5,ADAM23,SNCB,ATP1A1,SDC4,MAP1B,CXCL13,,,,RFX4 | AMEX60DD006538,,,,,,,Sirt2
445,,,,,,,EPB41L3,PCP4,FRY,SNAP25,TSPAN13,KCNIP4,AL929091.1,,,,VAMP1 | AMEX60DDU001000340,,,,,,,Plppr4
446,,,,,,,CXCL14,RCN2,HBA1,FNDC10,NEFH,PNISR,ESM1,,,,AMEX60DD034076,,,,,,,Nrxn1
447,,,,,,,IGLC2,RGS5,CDC42EP1,GNG3,SPTBN4,SCN3B,TPD52L1,,,,AMEX60DD020845,,,,,,,Meg3
448,,,,,,,NEUROD2,GPX3,FABP7,SLC24A2,EDIL3,EFHD1,SMAD3,,,,AMEX60DD037259,,,,,,,Sst
449,,,,,,,RASD1,,PTK2B,XBP1,ATRNL1,OXR1,HSBP1L1,,,,KRT18 | AMEX60DD029807,,,,,,,Neto1
450,,,,,,,NDUFA5,,FGFR1OP2,AQP1,SBNO1,SEC23A,CEBPB,,,,LOC115079518[nr]|C11ORF96[hs] | AMEX60DDU001000993,,,,,,,Sez6
451,,,,,,,EXOSC6,,CREG2,LRRC4,JAM3,GRASP,EPHX2,,,,NKAIN4 | AMEX60DD026977,,,,,,,Amotl1
452,,,,,,,PPP3CA,,KIF21A,WSB2,PCDH8,IGHG3,BCL2,,,,NMBR | AMEX60DD035558,,,,,,,Ppm1e
453,,,,,,,DNM1,,SEZ6L,CPB1,YWHAG,INA,DNAJB1,,,,OTOR | AMEX60DD035833,,,,,,,Atp6v1a
454,,,,,,,MAT2B,,VPS35,PI4KA,CELF4,ATP2A2,BORCS5,,,,FAH | AMEX60DD004286,,,,,,,Klk6
455,,,,,,,PGAM1,,PJA2,DBNDD1,SATB2,CLSTN2,SCCPDH,,,,SFRP2 | AMEX60DD045083,,,,,,,Ndufa4
456,,,,,,,MAP7D2,,SH3GL2,PTPRK,GDA,ELMO1,MATN3,,,,FLNA | AMEX60DD025629,,,,,,,Fnbp1
457,,,,,,,OLFM1,,GHITM,CPNE6,CHN1,SEC61G,C2orf72,,,,THBD | AMEX60DD035692,,,,,,,R3hdm1
458,,,,,,,ARGLU1,,CNTN2,LRRC75A,NKAIN2,FZD3,GGH,,,,VAT1L | AMEX60DD015284,,,,,,,Col25a1
459,,,,,,,HSP90AA1,,NT5DC3,GABRB2,GSN,RNF13,AL391001.1,,,,AJUBA | AMEX60DD009327,,,,,,,Frmd8
460,,,,,,,RGS4,,PPP3CB,CELF5,OPN3,STX1A,SLCO2A1,,,,ZEB2 | AMEX60DD055909,,,,,,,Necab2
461,,,,,,,RNF11,,CBR1,PDE1B,MAG,PVALB,RPL26,,,,ZIC3 | AMEX60DD037412,,,,,,,Plxnb3
462,,,,,,,LDHA,,CADM3,B4GAT1,HPCA,SCGB2A2,PPP1R14A,,,,TGFBI | AMEX60DDU001002594,,,,,,,Cryab
463,,,,,,,IGHA2,,HEPACAM,RBP4,MAP1B,HOPX,TCEAL4,,,,AMEX60DD029820,,,,,,,Gpr101
464,,,,,,,SCG2,,GAPDH,CAMK2N2,KCNIP4,GRINA,CDKN2B,,,,SLC6A6 | AMEX60DD023465,,,,,,,Bok
465,,,,,,,ATP5IF1,,ANLN,SCGB2A1,SCN3B,CMIP,LOXL1,,,,ZBTB18 | AMEX60DD035280,,,,,,,Cdk17
466,,,,,,,ZYG11B,,TSC22D1,AGR2,EFHD1,PPFIA2,STMND1,,,,PARPI_0008888[nr]|CBLN4[hs] | AMEX60DD027364,,,,,,,Aldh1a1
467,,,,,,,UBE2QL1,,FAM241B,CHL1,OXR1,ATP1B1,RAD51,,,,nan | AMEX60DD016339,,,,,,,Cck
468,,,,,,,SYT11,,ANXA6,SYNGAP1,RAPGEF5,RASGRF1,SIL1,,,,ACTA2 | AMEX60DD052517,,,,,,,Tmsb10
469,,,,,,,FAM217B,,CERS6,MBP,GRASP,G0S2,PHYH,,,,RPS15 | AMEX60DD013500,,,,,,,Slain1
470,,,,,,,TUBA1A,,NUDT4,MT1X,IGHG3,SLC12A5,RBP1,,,,AMEX60DD022072,,,,,,,Rhog
471,,,,,,,MORF4L2,,IGFBP2,MMD,INA,OLA1,LIN7A,,,,SLC38A4 | AMEX60DD008343,,,,,,,Alcam
472,,,,,,,INPP5F,,HSPA8,MOBP,MAP3K12,ATP6V1E1,IDO1,,,,ECRG4 | AMEX60DD048033,,,,,,,Snap25
473,,,,,,,SLC6A1,,GLS,KRT18,ATP2A2,KRT17,TRAFD1,,,,AMEX60DD047169,,,,,,,Rtn1
474,,,,,,,SNX10,,L1CAM,RASGRP1,ELMO1,GPRC5B,CCDC88C,,,,AMEX60DD038484,,,,,,,Nptx1
475,,,,,,,SLC9A6,,AL359091.1,SLC30A3,R3HDM2,FA2H,KLHDC7B,,,,AGRN | AMEX60DD051219,,,,,,,Prkar1b
476,,,,,,,EPS15,,STEAP2,KRT19,CMTM5,CALM3,GOLGA7,,,,WNT11 | AMEX60DD049747,,,,,,,Pcsk2
477,,,,,,,HNRNPA0,,GRIN1,AIF1L,NAPB,AQP4,KLHL35,,,,CHGA | AMEX60DD011371,,,,,,,Cst3
478,,,,,,,PCP4,,EPDR1,CLSTN1,RNF13,MGP,MYL9,,,,AMEX60DD005586,,,,,,,Tuba1a
479,,,,,,,RGS5,,ARHGAP23,PCSK1,FRRS1L,TFF3,ID1,,,,NRP2 | AMEX60DD055040,,,,,,,Grin2a
480,,,,,,,GPX3,,EZR,HYOU1,PVALB,RCAN2,PALD1,,,,SLC7A5 | AMEX60DD017173,,,,,,,Ier5
481,,,,,,,,,NRBP1,HCN1,SCGB2A2,SNN,NID1,,,,AMEX60DD013527,,,,,,,Homer1
482,,,,,,,,,CCNDBP1,EPHA4,HOPX,AGT,SYAP1,,,,CPXM1 | AMEX60DD046397,,,,,,,Hapln2
483,,,,,,,,,BEX1,CAPZA2,PPFIA2,MFSD4A,PRSS23,,,,CD9 | AMEX60DD006621,,,,,,,Nptx2
484,,,,,,,,,ARPP21,PRKCA,ATP1B1,CTNNA2,EIF1B,,,,MSN | AMEX60DD037012,,,,,,,Sv2b
485,,,,,,,,,B3GALT2,PREPL,G0S2,DCLK1,LRRC26,,,,NDRG2 | AMEX60DD008501,,,,,,,Egr1
486,,,,,,,,,SCN1A,FGFR2,SLC12A5,SYN2,MFAP4,,,,ANGPT1 | AMEX60DD040289,,,,,,,Adi1
487,,,,,,,,,APP,ZDHHC20,KRT17,NRN1,PSMA6,,,,AMEX60DD029717,,,,,,,Clstn1
488,,,,,,,,,HS6ST3,SLAIN1,GPRC5B,EGR3,CMTM4,,,,EDN2 | AMEX60DD005420,,,,,,,Itgb4
489,,,,,,,,,ENO2,NRXN1,FA2H,NEGR1,MPEG1,,,,NES | AMEX60DD016851,,,,,,,Abat
490,,,,,,,,,CLVS2,TBR1,DUSP3,MID1IP1,CSPG4,,,,CNR1 | AMEX60DD033978,,,,,,,Vamp2
491,,,,,,,,,VWA1,TSPYL1,SUMO1,NCALD,SLC25A48,,,,AMEX60DD021526,,,,,,,Nt5dc3
492,,,,,,,,,LGALS1,ZBTB18,CALM3,STXBP1,SLC19A2,,,,LGR6 | AMEX60DD008622,,,,,,,Slc6a11
493,,,,,,,,,DAAM2,GLTP,AQP4,ITPR1,DSE,,,,NDNF | AMEX60DD044914,,,,,,,Ppp1r14a
494,,,,,,,,,PTPRT,HIPK2,MGP,PKM,IL1R2,,,,KIDINS220 | AMEX60DD033291,,,,,,,Arhgap33
495,,,,,,,,,CLK1,GRIA4,TFF3,CALY,AC004687.1,,,,RPS4X | AMEX60DD022526,,,,,,,Lhfpl3
496,,,,,,,,,LRRTM1,EIF4A2,NOMO1,YWHAH,IGHE,,,,IGFBP1 | AMEX60DD038153,,,,,,,Vsnl1
497,,,,,,,,,SLC8A2,RHOG,LMTK2,PRKCE,ALDH3B2,,,,SOX2 | AMEX60DD001640,,,,,,,Cntnap1
498,,,,,,,,,PDP1,ERMN,RCAN2,LHPP,OLFML3,,,,TCF4 | AMEX60DD041795,,,,,,,Ramp3
499,,,,,,,,,FBXW7,ARF5,SNN,FBXO34,ADRA2A,,,,FHL2 | AMEX60DD048038,,,,,,,Gnas
500,,,,,,,,,UQCRH,CAMK2N1,MFSD4A,AP2M1,PEX7,,,,AB205_0180050[nr]|HSD17B6[hs] | AMEX60DD029709,,,,,,,Ptk2b
501,,,,,,,,,CCK,NDRG1,CTNNA2,PNMA1,MX1,,,,SLC2A12 | AMEX60DD034265,,,,,,,Bex2
502,,,,,,,,,OPALIN,CNKSR2,DCLK1,TUBA4A,SIX1,,,,AMEX60DD028126,,,,,,,Gm765
503,,,,,,,,,PDHA1,SH3BGRL2,SYN2,KCNQ5,MMP9,,,,LOC107323479[nr]|HES5[hs] | AMEX60DD051351,,,,,,,Tmem130
504,,,,,,,,,FAM131A,PNMA2,XIST,PIK3R1,SNCG,,,,LRRN1 | AMEX60DD023589,,,,,,,Camk2n2
505,,,,,,,,,NEFL,AP3M2,NRN1,LINC00507,ESAM,,,,AMEX60DD013912,,,,,,,Pcsk1n
506,,,,,,,,,SLC22A17,AGR3,COX7A2,QKI,HMMR,,,,GPD1 | AMEX60DD029855,,,,,,,Gabra4
507,,,,,,,,,GAD1,NDFIP1,EGR3,NPTN,NES,,,,LRP4 | AMEX60DD005288,,,,,,,Impact
508,,,,,,,,,LDB2,SSX2IP,NEGR1,PGK1,AP005121.1,,,,D4764_08G0001950[nr] | AMEX60DD043225,,,,,,,Dbndd2
509,,,,,,,,,NAP1L3,NDUFA4,NCALD,WSB1,ISG20,,,,TPD52L1 | AMEX60DD034735,,,,,,,Prr5l
510,,,,,,,,,SEMA3B,ALDOA,STXBP1,ZCCHC24,SELL,,,,ENO1 | AMEX60DD051188,,,,,,,Camkk2
511,,,,,,,,,ATP5MD,UCHL1,ITPR1,LDHB,MGST3,,,,CD151 | AMEX60DD004423,,,,,,,Cacnb4
512,,,,,,,,,DGKB,PLIN1,YWHAH,JAKMIP1,TUBB2B,,,,LOC115084946[nr]|RPSA[hs] | AMEX60DD041110,,,,,,,Nr4a1
513,,,,,,,,,TMSB10,ARL4C,PRKCE,COX7B,HSPH1,,,,TRPM3 | AMEX60DD043161,,,,,,,Fa2h
514,,,,,,,,,NGEF,FN1,LHPP,ACSL6,GPRC5A,,,,AMEX60DD014729,,,,,,,Rtn3
515,,,,,,,,,UGT8,CRTAC1,FBXO34,KLC1,LRATD1,,,,LOC115086130[nr]|NEUROD6[hs] | AMEX60DD037990,,,,,,,mt.Nd4
516,,,,,,,,,AATK,NLGN4X,SLC2A13,SIPA1L1,EMCN,,,,CCND1 | AMEX60DD005040,,,,,,,Fbxl16
517,,,,,,,,,IQCK,HSPA2,TUBA4A,NPTX2,ZFP36,,,,LPAR2 | AMEX60DD031598,,,,,,,Hap1
518,,,,,,,,,NOVA1,SNCB,PIK3R1,HBB,DBI,,,,NTSR1 | AMEX60DD026968,,,,,,,Cadps2
519,,,,,,,,,SDC3,SSTR1,LINC00507,ATP5MC3,FZD7,,,,FZD2 | AMEX60DD009877,,,,,,,Kcns1
520,,,,,,,,,HNRNPH2,FRY,QKI,LAMP2,NUSAP1,,,,AMEX60DD021041,,,,,,,Erbin
521,,,,,,,,,WDR47,HBA1,GLDN,FAM84A,PDLIM4,,,,RPL15 | AMEX60DD032684,,,,,,,Kcnab1
522,,,,,,,,,CPLX1,CDC42EP1,NPTN,GALNT17,NEURL1,,,,NKCC1[nr]|SLC12A2[hs] | AMEX60DD042921,,,,,,,Abhd12b
523,,,,,,,,,AC005944.1,FABP7,WSB1,CIT,SGMS2,,,,LOC112110977[nr]|SLC16A7[hs] | AMEX60DD023885,,,,,,,Endod1
524,,,,,,,,,RNASE1,PTK2B,ZCCHC24,PNMA8A,DHRS2,,,,VIM | AMEX60DD022108,,,,,,,Ppp3r1
525,,,,,,,,,CD9,SLC4A10,DNAJA2,FABP4,ZAP70,,,,PTPRC | AMEX60DD018338,,,,,,,Nrn1
526,,,,,,,,,KCTD16,CREG2,COX7B,KALRN,ABHD17C,,,,LOC115460660[nr]|CARTPT[hs] | AMEX60DD003385,,,,,,,Phyhip
527,,,,,,,,,SDC4,KIF21A,KLC1,MOG,CKS1B,,,,AMEX60DD004520,,,,,,,Cpe
528,,,,,,,,,RHOU,BCAP29,TBC1D9,RAP1GDS1,SERPINA5,,,,TAGLN2[hs] | AMEX60DD015759,,,,,,,Syt5
529,,,,,,,,,TSPAN13,SEZ6L,SIPA1L1,BEX5,ADGRB1,,,,DV515_00011714[nr]|PXDN[hs] | AMEX60DD027011,,,,,,,Aqp4
530,,,,,,,,,NEFH,VPS35,NPTX2,YWHAB,DNAJC12,,,,WIPF3[nr] | AMEX60DD022821,,,,,,,C4b
531,,,,,,,,,NAA20,PJA2,HBB,TTYH2,CD2,,,,PTPRU | AMEX60DD005483,,,,,,,Mog
532,,,,,,,,,ATRNL1,PLPPR4,ATP5MC3,ATP2B2,FAM177A1,,,,AHCYL1 | AMEX60DD009236,,,,,,,Tmem63a
533,,,,,,,,,EDIL3,ISG15,LAMP2,ATP5F1A,APOC1,,,,AMEX60DD015863,,,,,,,Kndc1
534,,,,,,,,,JAM3,ATP6V1A,FAM84A,C1orf115,CIAO2A,,,,HGD | AMEX60DD046940,,,,,,,Cacnb3
535,,,,,,,,,DKK3,GHITM,AC116565.1,GUCY1B1,SAMD11,,,,CORO2B | AMEX60DD004229,,,,,,,Dynll1
536,,,,,,,,,DDX3X,SLC32A1,GALNT17,EEF1A2,DNAJC14,,,,RPS6 | AMEX60DD043373,,,,,,,Lrrc10b
537,,,,,,,,,PCDH8,CNTN2,SRPK2,TRIO,IL17RE,,,,AMEX60DD044102,,,,,,,Ncdn
538,,,,,,,,,CLEC2L,STXBP6,FABP4,ACTR3B,PDE5A,,,,CCH79_00001654[nr]|PGAM2[hs] | AMEX60DD052945,,,,,,,Nrip3
539,,,,,,,,,WIF1,JCHAIN,PRKACB,PRNP,PPP1R16A,,,,CXCR4.S[nr]|CXCR4[hs] | AMEX60DD055954,,,,,,,Slc1a3
540,,,,,,,,,YWHAG,PPP3CB,MOG,MIAT,MRPL36,,,,AMEX60DD040696,,,,,,,Dkkl1
541,,,,,,,,,SATB2,TMEM38A,YWHAB,CNTNAP1,ADAMDEC1,,,,ELMO1 | AMEX60DD038068,,,,,,,Lingo1
542,,,,,,,,,FXYD6,CADM3,BEX5,PAQR6,LINC00645,,,,ETV1 | AMEX60DD022427,,,,,,,Lpar1
543,,,,,,,,,PLPPR1,CBR1,NMNAT2,BHLHE41,S100A2,,,,CSF1R | AMEX60DD030145,,,,,,,Ttc9b
544,,,,,,,,,CHN1,EIF5A,TTYH2,PFKP,ZNF217,,,,TCN2 | AMEX60DD001162,,,,,,,Opalin
545,,,,,,,,,NRSN1,GAPDH,ATP2B2,SUCLA2,CRIM1,,,,SPARC | AMEX60DD030096,,,,,,,Gna12
546,,,,,,,,,NKAIN2,ANLN,ATP5F1A,TFF1,SOX9,,,,AMEX60DD052236,,,,,,,Syt1
547,,,,,,,,,GSN,TSC22D1,C1orf115,C14orf132,COL10A1,,,,FAM181B | AMEX60DD049680,,,,,,,Cntn2
548,,,,,,,,,OPN3,ANXA6,GUCY1B1,SIRT2,SLC25A5,,,,GHRH[nr]|VIP[hs] | AMEX60DD028629,,,,,,,Fam163b
549,,,,,,,,,MAG,NUDT4,EEF1A2,ATP5F1B,RPS26,,,,LOC115087353[nr]|ARF1[hs] | AMEX60DD046977,,,,,,,Spock3
550,,,,,,,,,CNTNAP4,HSPA8,TRIO,PRKAR1B,PGM5,,,,INHBB | AMEX60DD056132,,,,,,,Pvalb
551,,,,,,,,,TTC9B,L1CAM,PTGDS,ABCA2,ITPR2,,,,TIAM1 | AMEX60DD047350,,,,,,,Ccp110
552,,,,,,,,,HPCA,CALML5,NDUFB1,FABP3,BCAS4,,,,RPL30 | AMEX60DD040171,,,,,,,Cdk14
553,,,,,,,,,MAP1B,AL359091.1,ACTR3B,CXCL14,RORC,,,,SPARCL1 | AMEX60DD043920,,,,,,,Reps2
554,,,,,,,,,KCNIP4,GRIN1,PRNP,CDK18,KIAA0040,,,,TPBGL | AMEX60DD049840,,,,,,,Tmem88b
555,,,,,,,,,EFHD1,EPDR1,MIAT,IGLC2,TIMP3,,,,PDGFRB | AMEX60DD030144,,,,,,,Rock2
556,,,,,,,,,OXR1,BEX1,FAM107B,NEUROD2,MYLK,,,,CASR | AMEX60DD046907,,,,,,,4-Sep
557,,,,,,,,,RORB,GJB1,PAQR6,RASD1,GPC3,,,,ADCYAP1R1 | AMEX60DD021323,,,,,,,Atp2b4
558,,,,,,,,,NRXN2,RFPL1S,PFKP,PPP3CA,CA14,,,,LPAR6.S[nr]|LPAR6[hs] | AMEX60DD049019,,,,,,,Ddc
559,,,,,,,,,RAPGEF5,ARPP21,PRKAR1B,CISD1,ENC1,,,,PPP1R1B[nr]|DARPP32[hs] | AMEX60DD010300,,,,,,,Fhl2
560,,,,,,,,,GRASP,B3GALT2,ATP5F1B,DNM1,LINC01410,,,,PPP1R32 | AMEX60DD004614,,,,,,,Sphkap
561,,,,,,,,,ENPP4,SCN1A,C14orf132,PGAM1,AMIGO2,,,,XELAEV_18033097MG[nr] | AMEX60DD022813,,,,,,,Plk2
562,,,,,,,,,IGHG3,APP,SIRT2,BOLA3,AL732437.3,,,,AGR2[hs] | AMEX60DD022464,,,,,,,Pip5k1c
563,,,,,,,,,INA,HS6ST3,TFF1,NRCAM,LGALS8,,,,GPX8 | AMEX60DD042105,,,,,,,Tanc1
564,,,,,,,,,ATP2A2,RBFOX3,ABCA2,OLFM1,EZH2,,,,LOC115650587[nr] | AMEX60DD036599,,,,,,,Ppp1r9a
565,,,,,,,,,CLSTN2,ENO2,FABP3,HSP90AA1,CD163L1,,,,SULF1 | AMEX60DD039871,,,,,,,Spp1
566,,,,,,,,,ELMO1,VWA1,CXCL14,RGS4,PLAC9,,,,AMEX60DDU001001926,,,,,,,Rab6b
567,,,,,,,,,R3HDM2,DAAM2,CDK18,LDHA,SCD,,,,COL6A3 | AMEX60DD055459,,,,,,,Rtn4
568,,,,,,,,,CMTM5,PTPRT,IGLC2,SCG2,HLA-DQA1,,,,P2RY1 | AMEX60DD001889,,,,,,,Adcyap1
569,,,,,,,,,NAPB,KCNH1,NEUROD2,ATP5IF1,LRP1,,,,RPE65 | AMEX60DD019294,,,,,,,Prkcb
570,,,,,,,,,GPRASP2,LRRTM1,PPP3CA,CAMK4,POLR2K,,,,SLC16A1 | AMEX60DD008873,,,,,,,Syn2
571,,,,,,,,,CACNA1E,SLC8A2,DNM1,PLEKHB1,IGHA1,,,,PLN[nr] | AMEX60DD034157,,,,,,,Nts
572,,,,,,,,,FZD3,C17orf51,MAP7D2,NPTXR,SLITRK6,,,,SFRP4 | AMEX60DD038079,,,,,,,Tspan2
573,,,,,,,,,RNF13,MOB1B,NRCAM,UBE2QL1,S100P,,,,AMEX60DD054851,,,,,,,Gm15440
574,,,,,,,,,HBA2,PDP1,OLFM1,COX6B1,PABPC1L,,,,LOC115074257[nr]|NPY[hs] | AMEX60DD009927,,,,,,,Meis2
575,,,,,,,,,FRRS1L,FBXW7,SYNGR3,NAPA,PDGFRB,,,,SERPINH1 | AMEX60DDU001001261,,,,,,,Sparc
576,,,,,,,,,STX1A,CPEB3,PFDN4,SOX8,IGFBP6,,,,MMP2 | AMEX60DD017764,,,,,,,Cplx2
577,,,,,,,,,PTPRF,IGHG1,RGS4,NSG2,PSMG3,,,,SLC25A18 | AMEX60DD006932,,,,,,,Rab40b
578,,,,,,,,,PVALB,NECAP1,LDHA,APBA2,TSKU,,,,TGFBR2 | AMEX60DD022702,,,,,,,Prnp
579,,,,,,,,,SCGB2A2,CCK,DDHD2,HSPA1B,COP1,,,,ADCYAP1 | AMEX60DD039450,,,,,,,Gpr6
580,,,,,,,,,HOPX,FAXDC2,SCG2,SLC6A1,Z82246.1,,,,MFAP2 | AMEX60DD052377,,,,,,,Ntng1
581,,,,,,,,,ATP1B1,TRHDE,ATP5IF1,GPR37,MYBL2,,,,LOC101932249[nr]|CYP1A1[hs] | AMEX60DD043181,,,,,,,Grm1
582,,,,,,,,,RASGRF1,OPALIN,FEZ1,INPP5F,AGPAT2,,,,CPE | AMEX60DD045225,,,,,,,Peg10
583,,,,,,,,,SLC12A5,FAM131A,CAMK4,SNX10,FOXI1,,,,LOC104571731[nr]|SLC5A7[hs] | AMEX60DD049574,,,,,,,Qk
584,,,,,,,,,ZNF25,NEFL,PLEKHB1,SLC20A1,GCHFR,,,,LOC108711469[nr]|SV2B[hs] | AMEX60DD003452,,,,,,,Serinc1
585,,,,,,,,,KRT17,COL3A1,UBE2QL1,ATP1B2,UGCG,,,,TPI[nr]|TPI1[hs] | AMEX60DD026817,,,,,,,mt.Nd5
586,,,,,,,,,GPRC5B,GRIA3,NPTXR,GARS,CARTPT,,,,AMEX60DDU001033882,,,,,,,Gng7
587,,,,,,,,,FA2H,GAD1,BAIAP3,ADAM23,COL5A2,,,,nan | AMEX60DD026859,,,,,,,Npy
588,,,,,,,,,SHOC2,PTPRN2,CSRP1,PCP4,GLUD1,,,,ITM2B | AMEX60DD049023,,,,,,,Calb2
589,,,,,,,,,CALM3,LDB2,SOX8,FBXO9,NIBAN1,,,,LOC115460661[nr]|CARTPT[hs] | AMEX60DD003380,,,,,,,Rgs12
590,,,,,,,,,AQP4,COX6C,MT1G,NKX6-2,EIF3L,,,,NRAD[nr]|RRAD[hs] | AMEX60DD015393,,,,,,,Nr4a2
591,,,,,,,,,MGP,NAP1L3,NSG2,EXTL2,LAGE3,,,,RPL7 | AMEX60DD039907,,,,,,,Efnb3
592,,,,,,,,,EHD3,COX7A1,HSPA1B,ASNS,APCDD1,,,,nan | AMEX60DD044904,,,,,,,Wfs1
593,,,,,,,,,SNN,SEMA3B,MORF4L2,RGS5,RAMP1,,,,NANS | AMEX60DD043925,,,,,,,Apoe
594,,,,,,,,,EBNA1BP2,PDS5B,SLC6A1,GPX3,CXorf40A,,,,ANXA4 | AMEX60DD001400,,,,,,,Sptbn1
595,,,,,,,,,FBXO7,ATP5MD,GPR37,,SPAG4,,,,MET | AMEX60DD006320,,,,,,,Sez6l2
596,,,,,,,,,MFSD4A,DGKB,SNX10,,PLPPR3,,,,SLC40A1 | AMEX60DD055178,,,,,,,Rasgrf2
597,,,,,,,,,CTNNA2,TMSB10,SLC20A1,,PPDPF,,,,RASGRP3 | AMEX60DD034803,,,,,,,Itpkb
598,,,,,,,,,SYN2,NGEF,TEF,,VTCN1,,,,GPR171 | AMEX60DD001916,,,,,,,Cnr1
599,,,,,,,,,DCLK1,UGT8,CBLN2,,TAP1,,,,COL4A2 | AMEX60DD047874,,,,,,,Arf3
600,,,,,,,,,HMGCS1,SLC39A6,ADAM23,,AGL,,,,AB205_0119900[nr]|LUM[hs] | AMEX60DD007586,,,,,,,Timp3
601,,,,,,,,,NRN1,IQCK,RCN2,,AC110619.1,,,,SLC25A3 | AMEX60DD007843,,,,,,,Kcnh7
602,,,,,,,,,STXBP5,SDC3,PCP4,,SLC39A11,,,,B2M | AMEX60DD028300,,,,,,,Icam5
603,,,,,,,,,PDE2A,HNRNPH2,NKX6-2,,FOSB,,,,LOC106944734[nr] | AMEX60DD044469,,,,,,,Mef2c
604,,,,,,,,,DNM2,CDH8,ASNS,,RARRES2,,,,LIPG | AMEX60DD041738,,,,,,,Mobp
605,,,,,,,,,EGR3,CPLX1,RGS5,,FSTL1,,,,TBX18 | AMEX60DD033766,,,,,,,Ido1
606,,,,,,,,,MID1IP1,MAPK10,GPX3,,SCN8A,,,,LOC101933128[nr] | AMEX60DD047408,,,,,,,Cap2
607,,,,,,,,,NCALD,ERBB4,,,RHOBTB3,,,,UCHL1[hs] | AMEX60DD045638,,,,,,,Synpo2
608,,,,,,,,,STXBP1,AC005944.1,,,IGFBP3,,,,NPY | AMEX60DD022071,,,,,,,Sipa1l1
609,,,,,,,,,ITPR1,RNASE1,,,ANKRD37,,,,COL1A1 | AMEX60DD009937,,,,,,,Unc13c
610,,,,,,,,,CALY,STXBP5L,,,PRR34-AS1,,,,BHMT | AMEX60DD042310,,,,,,,Dlgap1
611,,,,,,,,,YWHAH,CD9,,,KDF1,,,,RBP4 | AMEX60DD052620,,,,,,,Inadl
612,,,,,,,,,PRKCE,KCTD16,,,ADH1B,,,,EMILIN1 | AMEX60DD032595,,,,,,,Ebf3
613,,,,,,,,,LHPP,COL6A2,,,RGCC,,,,DMRT1[hs] | AMEX60DD043122,,,,,,,Slc7a3
614,,,,,,,,,SLC2A13,RHOU,,,SHANK2,,,,VWA1 | AMEX60DD051290,,,,,,,Baiap2
615,,,,,,,,,TUBA4A,CYTH1,,,DSCR8,,,,LAPTM5 | AMEX60DD005457,,,,,,,S100b
616,,,,,,,,,PLXNB1,NEFH,,,PLOD2,,,,LOC115090923[nr]|PKD1[hs] | AMEX60DD030949,,,,,,,Ndrg2
617,,,,,,,,,PIK3R1,GUCY1A2,,,SMS,,,,AADAC | AMEX60DDU001028267,,,,,,,Slc1a2
618,,,,,,,,,LINC00507,NAA20,,,CCN5,,,,RPS23 | AMEX60DD042493,,,,,,,Satb1
619,,,,,,,,,QKI,ATRNL1,,,MRPS28,,,,DDT | AMEX60DD000400,,,,,,,Ttyh2
620,,,,,,,,,GLDN,EDIL3,,,KIF14,,,,LOC115655586[nr]|AHNAK[hs] | AMEX60DD025424,,,,,,,Ogfrl1
621,,,,,,,,,NPTN,JAM3,,,TTLL12,,,,AMEX60DD010910,,,,,,,Pcp4l1
622,,,,,,,,,PGK1,ADGRA1,,,RPAIN,,,,LOXL2 | AMEX60DD002960,,,,,,,Actb
623,,,,,,,,,WSB1,DKK3,,,NAIP,,,,LDHA | AMEX60DD004681,,,,,,,Chst8
624,,,,,,,,,ZCCHC24,JAZF1,,,POLR2L,,,,ND5 | AMEX60DD038502,,,,,,,Pde1b
625,,,,,,,,,LDHB,ELK1,,,CPNE7,,,,NPAS4 | AMEX60DD025143,,,,,,,Rasd1
626,,,,,,,,,DNAJA2,PCDH8,,,LMCD1,,,,TSP-1[nr]|THBS1[hs] | AMEX60DD012285,,,,,,,Ppp1r1b
627,,,,,,,,,COX7B,CLEC2L,,,AC021148.2,,,,LOC101935596[nr]|B3GALT5[hs] | AMEX60DD041353,,,,,,,Gm26645
628,,,,,,,,,ACSL6,WIF1,,,RGS16,,,,MAB21L1 | AMEX60DD049212,,,,,,,Chn2
629,,,,,,,,,KLC1,SLITRK5,,,GJA1,,,,AP2M1 | AMEX60DD001495,,,,,,,Zbtb18
630,,,,,,,,,SIPA1L1,YWHAG,,,CLUL1,,,,VWA7 | AMEX60DD018151,,,,,,,Wipf3
631,,,,,,,,,NPTX2,SATB2,,,LAPTM4B,,,,LOC115084272[nr]|PON1[hs] | AMEX60DD022378,,,,,,,Sh3d19
632,,,,,,,,,ATP6V1D,CELF4,,,MMP14,,,,CLU | AMEX60DD032706,,,,,,,Pde1a
633,,,,,,,,,HBB,FXYD6,,,FSIP1,,,,LOC108717042[nr]|KCNAB1[hs] | AMEX60DD001858,,,,,,,Trpa1
634,,,,,,,,,ATP5MC3,GDA,,,CMC2,,,,F13B | AMEX60DD018697,,,,,,,Cers2
635,,,,,,,,,LAMP2,PLPPR1,,,CST1,,,,SNAP25 | AMEX60DD035767,,,,,,,Nrsn2
636,,,,,,,,,FAM84A,CHN1,,,WARS,,,,FBLN2 | AMEX60DD024053,,,,,,,Adora2a
637,,,,,,,,,SLITRK1,IGHM,,,SELENBP1,,,,CAVIN2 | AMEX60DD028077,,,,,,,Rpl37a
